== build generator & input ==
== reference sum (exact) ==
expected = 53687387166542798
== bandwidth floor (f(n)=n target) ==
floor (cat > /dev/null) = 0.5460s min / 0.6570s median  <- champion should approach this
== build variants ==
== timing (interleaved, RUNS=3) ==
== test + benchmark ==
NAME                     RESULT             BEST(s)   MED(s)    JITTER    STATUS
champion                 53687387166542798  0.0920    0.0940    ±0.0030  OK
variants/avx2_12w_pf3    53687387166542798  0.2310    0.2320    ±0.0050  OK
variants/avx2_12window   53687387166542798  0.2460    0.2480    ±0.0120  OK
variants/avx2_16w_pf3    53687387166542798  0.2240    0.2330    ±0.0150  OK
variants/avx2_16window   53687387166542798  0.2500    0.2530    ±0.0080  OK
variants/avx2_4stream    53687387166542798  0.2280    0.2290    ±0.0120  OK
variants/avx2_4stream_x  53687387166542798  0.2260    0.2330    ±0.0320  OK
variants/avx2_5window    53687387166542798  0.2300    0.2460    ±0.0170  OK
variants/avx2_64b        53687387166542798  0.3400    0.3420    ±0.0760  OK
variants/avx2_6window    53687387166542798  0.2270    0.2300    ±0.0030  OK
variants/avx2_7window    53687387166542798  0.2350    0.2390    ±0.0450  OK
variants/avx2_8w_i_nopf  53687387166542798  0.2320    0.2430    ±0.0240  OK
variants/avx2_8w_nta     53687387166542798  0.2320    0.2360    ±0.0230  OK
variants/avx2_8w_pf      53687387166542798  0.2240    0.2260    ±0.0040  OK
variants/avx2_8w_pf1     53687387166542798  0.2290    0.2300    ±0.0070  OK
variants/avx2_8w_pf12    53687387166542798  0.2260    0.2300    ±0.0040  OK
variants/avx2_8w_pf1_i_cnt3 53687387166542798  0.2160    0.2170    ±0.0020  OK
variants/avx2_8w_pf2_i   53687387166542798  0.2290    0.2320    ±0.0030  OK
variants/avx2_8w_pf3     53687387166542798  0.2230    0.2280    ±0.0100  OK
variants/avx2_8w_pf3_clzbase 53687387166542798  0.2260    0.2310    ±0.0050  OK
variants/avx2_8w_pf3_i2  53687387166542798  0.2260    0.2270    ±0.0060  OK
variants/avx2_8w_pf3_i_cnt3 53687387166542798  0.2110    0.2150    ±0.0240  OK
